#{"t_start": 1717770471.9942374, "env_id": "Marlin-v1"}
r,l,t
-181.550845,200,23049.608807
-184.018336,200,23126.267662
-181.580476,200,23203.103924
-183.187871,200,23275.487057
-179.356235,200,23352.307092
-180.097866,200,23427.595932
-184.425222,200,23501.512075
-178.026141,200,23573.827049
-178.740378,200,23649.923411
-182.384896,200,23725.612352
-176.174375,200,23804.635213
-183.794656,200,23881.026558
-182.957779,200,23956.550195
-180.555166,200,24033.437612
-182.34937,200,24111.533959
-188.147477,200,24187.251573
-186.304041,200,24262.976568
-187.046597,200,24340.504139
-196.673853,200,24423.322269
-179.186294,200,24498.129586
-178.149107,200,24582.473874
-189.37022,200,24655.450519
-186.542507,200,24731.517945
-184.381362,200,24808.77366
-187.009028,200,25886.229367
-181.220474,200,25963.325127
-184.608918,200,26038.718547
-184.671209,200,26117.045473
-187.233212,200,26188.856823
-182.497804,200,26265.656224
-179.79828,200,26341.001874
-183.331993,200,26423.274413
-182.780624,200,26506.910042
-180.66461,200,26583.582345
-182.931262,200,26655.095354
-186.564348,200,26726.363103
-181.390502,200,26802.384116
-184.410816,200,26877.297707
-179.614659,200,26958.810791
-184.134089,200,27036.182282
-182.263768,200,27108.608604
-186.723874,200,27182.396383
-187.06387,200,27255.367842
-181.238815,200,27330.860956
-187.540775,200,27402.309284
-181.817625,200,27480.225406
-186.36513,200,27564.152263
-183.001866,200,27642.903702
-189.276514,200,27722.834048
-188.309791,200,27800.208158
-185.75911,200,27882.055558
-189.723354,200,27963.025522
-186.234537,200,28037.349009
-187.070109,200,28118.363423
-185.077707,200,28200.491622
-185.523093,200,28278.004923
-194.638671,200,28363.734465
-182.708163,200,28441.137102
-185.620941,200,28519.961004
-183.384481,200,28604.742876
-183.992363,200,28686.676586
-181.894154,200,28762.812746
-188.652494,200,28839.654824
-182.623652,200,28919.117989
-179.658013,200,29000.423958
-185.394927,200,29073.580317
-186.641131,200,29147.800852
-179.968417,200,29228.582716
-176.478865,200,29306.178986
-175.798988,200,29381.00165
-185.115515,200,29454.235774
-178.899468,200,29527.560665
-185.998661,200,29600.367565
-182.186766,200,29675.493154
-181.868704,200,30896.722028
-183.41234,200,30973.980051
-183.114058,200,31047.560038
-180.494864,200,31122.214993
-179.538596,200,31203.064236
-185.584362,200,31275.78686
-188.397344,200,31348.092111
-185.140884,200,31425.91806
-181.975169,200,31506.283887
-181.020313,200,31583.185058
-180.773696,200,31661.497364
-179.644886,200,31739.177572
-181.397475,200,31815.346028
-177.356272,200,31892.547156
-188.68598,200,31964.378888
-180.275805,200,32038.272752
-181.127144,200,32117.094823
-180.204928,200,32199.734428
-178.320246,200,32278.86341
-181.613713,200,32358.320152
-184.939112,200,32437.270621
-179.051452,200,32512.112631
-187.28473,200,32594.555053
-181.384857,200,32675.617876
-179.670599,200,32750.502092
-184.524466,200,32827.452766
-179.316523,200,32901.699301
-182.855955,200,32973.962986
-185.250989,200,33053.437418
-190.673367,200,33129.06197
-181.8788,200,33203.993618
-188.739853,200,33277.291371
-182.523574,200,33350.426732
-185.629606,200,33422.745994
-177.072628,200,33503.57111
-184.050935,200,33581.687833
-184.728785,200,33660.340419
-177.763414,200,33738.638042
-182.729915,200,33821.680078
-182.121462,200,33904.64101
-188.056422,200,33983.953105
-184.000529,200,34061.768575
-184.144363,200,34143.29218
-180.81431,200,34224.66124
-179.526865,200,34299.119546
-181.451418,200,34379.102562
-185.172199,200,34457.829445
-180.62386,200,34539.062446
-184.193506,200,34614.898936
-178.758313,200,34693.240409
-186.453366,200,35820.082274
-183.20553,200,35893.009
-178.613758,200,35973.591737
-178.140863,200,36050.138242
-179.664349,200,36122.139221
-185.341788,200,36197.520324
-182.606516,200,36273.776098
-183.813754,200,36346.490383
-184.647001,200,36419.030932
-179.781453,200,36492.786043
-179.048438,200,36568.872569
-178.394153,200,36649.370972
-183.441655,200,36729.947176
-180.863806,200,36801.246137
-186.636409,200,36876.053306
-180.188889,200,36952.338465
-175.775889,200,37026.879009
-183.176406,200,37099.125064
-184.433258,200,37172.234236
-183.496801,200,37244.021314
-181.068641,200,37316.248638
-185.724569,200,37394.20693
-181.229987,200,37467.230008
-180.530937,200,37544.285175
-179.581338,200,37622.116155
-177.582782,200,37699.949522
-179.746389,200,37772.841073
-180.468049,200,37849.379007
-187.440875,200,37921.906601
-185.432402,200,37993.496289
-180.209127,200,38069.180721
-177.368707,200,38144.6364
-175.500462,200,38226.935204
-178.3722,200,38306.006058
-180.078841,200,38381.17763
-182.934837,200,38452.700349
-184.953613,200,38525.324438
-188.290514,200,38600.094546
-176.711975,200,38677.364713
-179.666107,200,38755.537215
-180.00508,200,38831.589532
-178.681268,200,38910.364373
-181.938956,200,38986.381354
-183.905269,200,39059.937287
-179.300545,200,39134.79187
-180.16645,200,39211.517972
-173.555972,200,39287.309539
-179.851845,200,39362.455099
-185.193272,200,39436.589873
-185.732175,200,39515.034865
-185.707252,200,40719.47993
